coordinator_1  | 2024-02-27 10:25:29,124.124 WARNING:   Worker: 3 | Completed snapshot: 25 | started at: 1709029529103.3418 | ended at: 1709029529122.217 | took: 18.875244140625ms
coordinator_1  | 2024-02-27 10:25:29,124.124 WARNING:   Worker: 4 | Completed snapshot: 25 | started at: 1709029529103.4004 | ended at: 1709029529122.2021 | took: 18.8017578125ms
coordinator_1  | 2024-02-27 10:25:29,124.124 WARNING:   Worker: 1 | Completed snapshot: 25 | started at: 1709029529103.3071 | ended at: 1709029529122.2517 | took: 18.944580078125ms
coordinator_1  | 2024-02-27 10:25:30,128.128 WARNING:   Worker: 4 | Completed snapshot: 26 | started at: 1709029530105.0564 | ended at: 1709029530126.0657 | took: 21.00927734375ms
coordinator_1  | 2024-02-27 10:25:30,128.128 WARNING:   Worker: 1 | Completed snapshot: 26 | started at: 1709029530104.983 | ended at: 1709029530126.5754 | took: 21.592529296875ms
coordinator_1  | 2024-02-27 10:25:30,129.129 WARNING:   Worker: 3 | Completed snapshot: 26 | started at: 1709029530105.069 | ended at: 1709029530126.52 | took: 21.450927734375ms
coordinator_1  | 2024-02-27 10:25:30,129.129 WARNING:   Worker: 2 | Completed snapshot: 26 | started at: 1709029530104.9739 | ended at: 1709029530127.4758 | took: 22.501953125ms
coordinator_1  | 2024-02-27 10:25:31,134.134 WARNING:   Worker: 3 | Completed snapshot: 27 | started at: 1709029531111.876 | ended at: 1709029531132.8103 | took: 20.934326171875ms
coordinator_1  | 2024-02-27 10:25:31,134.134 WARNING:   Worker: 2 | Completed snapshot: 27 | started at: 1709029531111.886 | ended at: 1709029531132.6934 | took: 20.807373046875ms
coordinator_1  | 2024-02-27 10:25:31,135.135 WARNING:   Worker: 1 | Completed snapshot: 27 | started at: 1709029531111.9055 | ended at: 1709029531132.6045 | took: 20.698974609375ms
coordinator_1  | 2024-02-27 10:25:31,135.135 WARNING:   Worker: 4 | Completed snapshot: 27 | started at: 1709029531112.001 | ended at: 1709029531133.3633 | took: 21.3623046875ms
coordinator_1  | 2024-02-27 10:25:32,137.137 WARNING:   Worker: 3 | Completed snapshot: 28 | started at: 1709029532114.296 | ended at: 1709029532135.3818 | took: 21.0859375ms
coordinator_1  | 2024-02-27 10:25:32,137.137 WARNING:   Worker: 4 | Completed snapshot: 28 | started at: 1709029532114.282 | ended at: 1709029532135.352 | took: 21.070068359375ms
coordinator_1  | 2024-02-27 10:25:32,137.137 WARNING:   Worker: 2 | Completed snapshot: 28 | started at: 1709029532114.2676 | ended at: 1709029532135.4011 | took: 21.133544921875ms
coordinator_1  | 2024-02-27 10:25:32,137.137 WARNING:   Worker: 1 | Completed snapshot: 28 | started at: 1709029532114.3054 | ended at: 1709029532135.3228 | took: 21.017333984375ms
coordinator_1  | 2024-02-27 10:25:33,136.136 WARNING:   Worker: 1 | Completed snapshot: 29 | started at: 1709029533119.9458 | ended at: 1709029533134.462 | took: 14.51611328125ms
coordinator_1  | 2024-02-27 10:25:33,136.136 WARNING:   Worker: 4 | Completed snapshot: 29 | started at: 1709029533119.981 | ended at: 1709029533134.9497 | took: 14.96875ms
coordinator_1  | 2024-02-27 10:25:33,137.137 WARNING:   Worker: 3 | Completed snapshot: 29 | started at: 1709029533120.0286 | ended at: 1709029533135.0906 | took: 15.06201171875ms
coordinator_1  | 2024-02-27 10:25:33,137.137 WARNING:   Worker: 2 | Completed snapshot: 29 | started at: 1709029533119.9937 | ended at: 1709029533135.1624 | took: 15.168701171875ms
coordinator_1  | 2024-02-27 10:25:34,149.149 WARNING:   Worker: 1 | Completed snapshot: 30 | started at: 1709029534127.8645 | ended at: 1709029534147.725 | took: 19.860595703125ms
